AstroVIEW X
Type, Original
 
Time, 06/15/2018 01:43:39 PM
Compression, 1
*Sample Rate 1, 1
Size, 6280
Trigger, 1
Recorder Type, TMX 
Amp Type, ,UNIV6, UNIV6, UNIV6, UNIV6
A_lp
SAMPLE,TIME,V_rms_20ms         , V_lp_3000Hz        , I1_rms_20ms        , I1_lp_3000Hz       
1, 06/15/2018 01:43:38 PM,0.0000             ,-0.0667            ,0.0000             ,-0.8333            
2, 06/15/2018 01:43:39 PM,0.0000             ,-0.0333            ,0.0000             ,-1.2500            
3, 06/15/2018 01:43:40 PM,0.0000             ,0.0167             ,0.0000             ,0.0000             
4, 06/15/2018 01:43:41 PM,0.0000             ,-0.0667            ,0.0000             ,-2.5000            
5, 06/15/2018 01:43:42 PM,0.0000             ,-0.0333            ,0.0000             ,-2.5000            
6, 06/15/2018 01:43:43 PM,0.0000             ,-0.0500            ,0.0000             ,-0.8333            
7, 06/15/2018 01:43:44 PM,0.0000             ,0.0333             ,0.0000             ,-1.2500            
8, 06/15/2018 01:43:45 PM,0.0000             ,-0.0333            ,0.0000             ,-0.4167            
9, 06/15/2018 01:43:46 PM,0.0000             ,-0.0167            ,0.0000             ,-1.2500            
10, 06/15/2018 01:43:47 PM,0.0000             ,0.0167             ,0.0000             ,0.0000             
11, 06/15/2018 01:43:48 PM,0.0000             ,-0.0500            ,0.0000             ,-1.2500            
12, 06/15/2018 01:43:49 PM,0.0000             ,-0.0833            ,0.0000             ,-0.4167            
13, 06/15/2018 01:43:50 PM,0.0000             ,-0.0167            ,0.0000             ,-1.6667            
14, 06/15/2018 01:43:51 PM,0.0000             ,-0.0500            ,0.0000             ,-0.4167            
15, 06/15/2018 01:43:52 PM,0.0000             ,-0.0167            ,0.0000             ,-1.2500            
16, 06/15/2018 01:43:53 PM,0.0000             ,-0.1000            ,0.0000             ,-1.2500            
17, 06/15/2018 01:43:54 PM,0.0000             ,-0.0500            ,0.0000             ,-1.2500            
18, 06/15/2018 01:43:55 PM,0.0000             ,-0.0167            ,0.0000             ,-2.0833            
19, 06/15/2018 01:43:56 PM,0.0000             ,-0.0500            ,0.0000             ,-1.2500            
20, 06/15/2018 01:43:57 PM,0.0000             ,-0.0667            ,0.0000             ,-1.6667            
21, 06/15/2018 01:43:58 PM,0.0000             ,0.0000             ,0.0000             ,-3.3333            
22, 06/15/2018 01:43:59 PM,0.0000             ,-0.1000            ,0.0000             ,-0.4167            
23, 06/15/2018 01:44:00 PM,0.0000             ,-0.0333            ,0.0000             ,-0.4167            
24, 06/15/2018 01:44:01 PM,0.0000             ,-0.0167            ,0.0000             ,-2.0833            
25, 06/15/2018 01:44:02 PM,0.0000             ,-0.0667            ,0.0000             ,-0.8333            
26, 06/15/2018 01:44:03 PM,0.0000             ,-0.0167            ,0.0000             ,-1.2500            
27, 06/15/2018 01:44:04 PM,0.0000             ,-0.0333            ,0.0000             ,-1.6667            
28, 06/15/2018 01:44:05 PM,0.0000             ,-0.0667            ,0.0000             ,-2.5000            
29, 06/15/2018 01:44:06 PM,0.0000             ,-0.0167            ,0.0000             ,-1.2500            
30, 06/15/2018 01:44:07 PM,0.0000             ,-0.0167            ,0.0000             ,-0.8333            
31, 06/15/2018 01:44:08 PM,0.0000             ,-0.0500            ,0.0000             ,-0.4167            
