AstroVIEW X
Type, Original
 
Time, 06/20/2018 02:05:08 PM
Compression, 1
*Sample Rate 1, 1
Size, 102
Trigger, 1
Recorder Type, TMX 
Amp Type, ,UNIV6, UNIV6, UNIV6, UNIV6
A_lp
SAMPLE,TIME,V_rms_20ms         , V_lp_3000Hz        , I1_rms_20ms        , I1_lp_3000Hz       
1, 06/20/2018 02:05:07 PM,0.0000             ,0.6500             ,0.0000             ,-28.7500           
2, 06/20/2018 02:05:08 PM,0.0000             ,0.5833             ,0.0000             ,-40.4167           
3, 06/20/2018 02:05:09 PM,0.0000             ,0.5833             ,0.0000             ,-22.5000           
4, 06/20/2018 02:05:10 PM,0.0000             ,0.5667             ,0.0000             ,-12.5000           
5, 06/20/2018 02:05:11 PM,0.0000             ,0.6000             ,0.0000             ,-35.0000           
6, 06/20/2018 02:05:12 PM,0.0000             ,0.6667             ,0.0000             ,16.2500            
7, 06/20/2018 02:05:13 PM,0.0000             ,0.7000             ,5.0000             ,10.8333            
8, 06/20/2018 02:05:14 PM,0.0000             ,0.6833             ,0.0000             ,-0.4167            
9, 06/20/2018 02:05:15 PM,0.0000             ,0.7667             ,0.0000             ,-35.0000           
10, 06/20/2018 02:05:16 PM,0.0000             ,0.6833             ,0.0000             ,0.8333             
11, 06/20/2018 02:05:17 PM,0.0000             ,0.5500             ,0.0000             ,-61.6667           
12, 06/20/2018 02:05:18 PM,0.0000             ,0.4833             ,0.0000             ,-29.1667           
13, 06/20/2018 02:05:19 PM,0.0000             ,0.3833             ,0.0000             ,1.2500             
14, 06/20/2018 02:05:20 PM,0.0000             ,0.4667             ,0.0000             ,-40.0000           
15, 06/20/2018 02:05:21 PM,0.0000             ,0.5167             ,0.0000             ,-25.0000           
16, 06/20/2018 02:05:22 PM,0.0000             ,0.2833             ,4.1667             ,-17.5000           
17, 06/20/2018 02:05:23 PM,0.0000             ,0.2667             ,0.0000             ,-43.7500           
18, 06/20/2018 02:05:24 PM,0.0000             ,0.3500             ,0.0000             ,-78.7500           
19, 06/20/2018 02:05:25 PM,0.0000             ,0.1667             ,0.0000             ,-67.9167           
20, 06/20/2018 02:05:26 PM,0.0000             ,0.9833             ,1.6667             ,-72.0833           
21, 06/20/2018 02:05:27 PM,0.0000             ,0.6500             ,3.3333             ,-30.8333           
22, 06/20/2018 02:05:28 PM,0.0000             ,0.2667             ,0.0000             ,-79.1667           
23, 06/20/2018 02:05:29 PM,0.0000             ,0.3500             ,0.0000             ,-42.0833           
24, 06/20/2018 02:05:30 PM,0.0000             ,0.2833             ,0.0000             ,-102.0833          
25, 06/20/2018 02:05:31 PM,0.0000             ,0.3500             ,0.0000             ,-86.6667           
26, 06/20/2018 02:05:32 PM,0.0000             ,0.3333             ,0.0000             ,-47.0833           
27, 06/20/2018 02:05:33 PM,0.0000             ,0.3667             ,0.0000             ,-92.0833           
28, 06/20/2018 02:05:34 PM,0.0000             ,0.3333             ,0.0000             ,-10.8333           
29, 06/20/2018 02:05:35 PM,0.0000             ,0.2333             ,1.6667             ,-98.7500           
30, 06/20/2018 02:05:36 PM,0.0000             ,0.3333             ,2.5000             ,-92.0833           
31, 06/20/2018 02:05:37 PM,0.0000             ,0.3167             ,4.1667             ,-42.5000           
32, 06/20/2018 02:05:38 PM,0.0000             ,0.1667             ,0.0000             ,-85.0000           
